company,report_year,kpi,value,unit,reporting_year,source_snippet,source_page,confidence,extractor,flags,run_tag
iberdrola,2024,total_energy_consumption,101572520.0,MWh,2024.0,"table@page 46: Total energy consumption (MWh) (calculated as the sum of lines 6, 7 and 11)
- Continuing activities | 101,572,520",46.0,0.922671255280054,baseline,[],v_gemini_25flash_post_quota
iberdrola,2024,total_energy_consumption,101572520.0,MWh,2024.0,"Total energy consumption (MWh) (calculated as the sum of lines 6, 7 and 11)
- Continuing activities | 101,572,520 | 104,215,259",,1.0,llm,[],v_gemini_25flash_post_quota
iberdrola,2024,water_consumption,45642187.0,m3,2024.0,"line@page 58: Total water consumption - Continuing activities m3 45,642,187 55,354,884",58.0,1.3,baseline,[],v_gemini_25flash_post_quota
iberdrola,2024,water_consumption,45642187.0,m3,2024.0,"Total water consumption - Continuing activities m3 45,642,187 55,354,884",,0.9,llm,[],v_gemini_25flash_post_quota
shell,2024,scope_1_emissions,,,,,,,baseline,['out_of_range'],v_gemini_25flash_post_quota
shell,2024,scope_1_emissions,69000000.0,tCO2e,2024.0,Gross Scope 1 GHG emissions [C] 69 73,,0.9,llm,[],v_gemini_25flash_post_quota
shell,2024,total_energy_consumption,269000000.0,MWh,2024.0,line@page 368: Total energy consumption [A] million MWh 269 289,368.0,1.3,baseline,[],v_gemini_25flash_post_quota
shell,2024,total_energy_consumption,189000000.0,MWh,2024.0,"Our energy consumption decreased from 212 billion kilowatt-hours (kWh) in 2024 to 189 billion kWh in 2025.

Energy consumption in billion kWh

2025 2024 2023

Own energy generated and consumed

Shell 159 179 174

UK including offshore area 6.1 6.2 6.1

Purchased and consumed energy

Shell 30 33 31

UK including offshore area 0.3 0.2 0.2

Energy consumption

Shell 189 212 205",,0.9,llm,[],v_gemini_25flash_post_quota
shell,2024,water_consumption,72000000.0,m3,2024.0,line@page 383: around 72 million cubic metres of fresh water consumed was used Ensure good water quality Good water quality refers to water that meets the,383.0,0.96,baseline,[],v_gemini_25flash_post_quota
shell,2024,water_consumption,127000000.0,m3,2024.0,"Water consumption (financial control boundary) [A]
million cubic metres
2025 2024
Water consumption [B] 127 117",,0.9,llm,[],v_gemini_25flash_post_quota
